Sampled Sewer Area,DataZone2011,Pop2011,dz_pop,prop_dz
Avse Pfi - Edinburgh DOA,S01008570,961,961,1.0
Avse Pfi - Edinburgh DOA,S01008571,679,679,1.0
Avse Pfi - Edinburgh DOA,S01008572,888,888,1.0
Avse Pfi - Edinburgh DOA,S01008573,892,892,1.0
Avse Pfi - Edinburgh DOA,S01008574,757,757,1.0
Avse Pfi - Edinburgh DOA,S01008575,802,802,1.0
Avse Pfi - Edinburgh DOA,S01008576,823,823,1.0
Avse Pfi - Edinburgh DOA,S01008577,903,903,1.0
Avse Pfi - Edinburgh DOA,S01008578,806,806,1.0
Avse Pfi - Edinburgh DOA,S01008579,753,753,1.0
Avse Pfi - Edinburgh DOA,S01008580,542,542,1.0
Avse Pfi - Edinburgh DOA,S01008581,894,894,1.0
Avse Pfi - Edinburgh DOA,S01008582,1020,1020,1.0
Avse Pfi - Edinburgh DOA,S01008583,713,713,1.0
Avse Pfi - Edinburgh DOA,S01008584,857,857,1.0
Avse Pfi - Edinburgh DOA,S01008585,598,598,1.0
Avse Pfi - Edinburgh DOA,S01008586,811,811,1.0
Avse Pfi - Edinburgh DOA,S01008587,914,914,1.0
Avse Pfi - Edinburgh DOA,S01008588,775,775,1.0
Avse Pfi - Edinburgh DOA,S01008589,390,390,1.0
Avse Pfi - Edinburgh DOA,S01008590,759,759,1.0
Avse Pfi - Edinburgh DOA,S01008591,824,824,1.0
Avse Pfi - Edinburgh DOA,S01008592,760,760,1.0
Avse Pfi - Edinburgh DOA,S01008593,780,780,1.0
Avse Pfi - Edinburgh DOA,S01008594,1038,1038,1.0
Avse Pfi - Edinburgh DOA,S01008595,905,905,1.0
Avse Pfi - Edinburgh DOA,S01008596,852,852,1.0
Avse Pfi - Edinburgh DOA,S01008597,880,880,1.0
Avse Pfi - Edinburgh DOA,S01008598,837,837,1.0
Avse Pfi - Edinburgh DOA,S01008599,919,919,1.0
Avse Pfi - Edinburgh DOA,S01008600,847,847,1.0
Avse Pfi - Edinburgh DOA,S01008601,2533,2533,1.0
Avse Pfi - Edinburgh DOA,S01008602,650,650,1.0
Avse Pfi - Edinburgh DOA,S01008603,1121,1121,1.0
Avse Pfi - Edinburgh DOA,S01008604,933,933,1.0
Avse Pfi - Edinburgh DOA,S01008605,702,702,1.0
Avse Pfi - Edinburgh DOA,S01008606,767,767,1.0
Avse Pfi - Edinburgh DOA,S01008607,630,630,1.0
Avse Pfi - Edinburgh DOA,S01008608,751,751,1.0
Avse Pfi - Edinburgh DOA,S01008609,977,977,1.0
Avse Pfi - Edinburgh DOA,S01008610,848,848,1.0
